"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"United States","USA","Internally displaced persons, total displaced by conflict and violence (number of people)","VC.IDP.TOCV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United States","USA","Internally displaced persons, new displacement associated with disasters (number of cases)","VC.IDP.NWDS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2020000","1300","","52000","901000","188000","34000","63000","1107000","1686000","",
"United States","USA","Internally displaced persons, new displacement associated with conflict and violence (number of cases)","VC.IDP.NWCV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United States","USA","Battle-related deaths (number of people)","VC.BTL.DETH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","233","","","","","","","","","","","","","","","","","",
"United States","USA","Travel services (% of commercial service exports)","TX.VAL.TRVL.ZS.WT","","","","","","","","","","","24.2203742203742","24.0494296577947","24.2476354256234","24.2897727272727","23.8067177371833","24.9601699415826","26.5249537892791","26.5631737818025","26.7212504652028","26.5397955429495","27.7879821569142","32.9204693611473","29.4591937069813","26.9984326018809","33.4922368987321","33.1264863843258","34.2759486234612","34.3753706031641","35.5017301038062","36.7940920938315","37.5335120643432","37.8998795341989","39.7342531307293","40.3162980880666","37.8031604728163","37.3534124318038","37.4149977351032","36.6975407218141","35.3455086782599","35.0928065428233","35.6256933974341","32.5904633074062","29.9866675457296","28.5936498896562","28.3411763984073","28.3891310551673","26.4493017943796","25.4639305371647","26.0377431944485","24.3608576484763","25.2066982371317","24.9123166245038","25.5112251726707","26.1529393562077","26.6036872747436","28.1461714128715","27.9562700651814","27.0759379669279","",
"United States","USA","Transport services (% of commercial service exports)","TX.VAL.TRAN.ZS.WT","","","","","","","","","","","38.1496881496881","36.9771863117871","36.7153912295787","38.7073863636364","39.8939304655274","36.5905469994689","36.7375231053604","36.4812419146184","36.21138816524","38.1116495237616","37.3655208606665","34.0286831812256","30.4228121927237","31.7594043887147","29.5957890555169","30.0663065219788","28.2290581857994","28.6888356538033","28.9965397923875","27.2632493483927","27.956508787608","25.8867621469683","23.8159162238588","22.9610303163575","22.3464083304696","22.6159398226025","21.3970981867099","20.4884488448845","19.1088046705422","16.4250858897571","16.2706596876511","15.6746702739263","15.3506362217876","14.7522602690966","14.6396382577965","14.7223729932685","14.4549065579255","14.0805993073397","14.5935161123926","12.6355440964032","13.1828768862249","13.1822295025661","13.2492392388601","12.786844179861","12.5769337399501","11.9316829407292","11.4416123488018","11.382793800804","",
"United States","USA","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.1623895661818","32.5299673313318","32.4015043902991","32.5632876325168","31.4651344985749","30.9990910136055","30.3006375796517","30.7587896774797","31.7287482910113","33.2158902332519","34.2582305414499","33.7749560269022","32.5626134168941","31.7276956973627","30.9409131325897","25.9524129721791","24.9673545568666","30.0569992880515","27.222664596901","25.9203321683644","21.4876897855956","19.9680138524787","18.1056830408946","17.776885094684","17.818696866679","18.229382922769","18.9915245249453","20.0006751784866","13.8196037898131","",
"United States","USA","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76767867475","89516989741","97807009781","104700910870","105184845717","115535095942","126759299125","138093562433","163407329178","171969190087","181431870161","197802453276","175872437830","161991416653","161561925853","139380739714","145435520394","219026015638","218115501899","220884471208","132406674889","145932689277","145638600147","148330989468","148530552453","155640595588","154345554351","153508971211","110120235610","",
"United States","USA","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","9620000000","10520000000","11630000000","14080000000","16970000000","18830000000","21640000000","23190000000","26870000000","31801300000","38110000000","46020000000","50850000000","51040000000","60414000000","63493000000","74898000000","84322000000","98260000000","115100000000","134280000000","149420000000","160905000000","168259000000","183327000000","200341000000","218553000000","234825000000","240486000000","263128000000","281224000000","266130000000","273018000000","280940000000","325978000000","357422000000","397519000000","467473000000","513735000000","492183000000","543546000000","605588000000","633576000000","678635000000","721400000000","735219000000","740088000000","778359000000","",
"United States","USA","Computer, communications and other services (% of commercial service exports)","TX.VAL.OTHR.ZS.WT","","","","","","","","","","","37.6299376299376","38.9733840304183","39.0369733447979","37.0028409090909","36.2993517972893","38.4492830589485","36.7375231053604","36.9555843035791","37.0673613695571","35.3485549332889","34.8464969824193","33.0508474576271","40.117994100295","41.2421630094044","36.911974045751","36.8072070936954","37.4949931907394","36.9357937430327","35.5017301038062","35.9426585577758","34.5099791480489","36.2133583188328","36.4498306454119","36.7226715955759","39.8504311967141","40.0306477455938","41.187904078187","42.8140104333014","45.545686651198","48.4821075674197","48.1036469149148","51.7348664186676","54.6626962324828","56.6540898412472","57.0191853437962","56.8884959515643","59.0957916476948","60.4554701554956","59.3687406931589","63.0035982551206","61.6104248766434","61.9054538729301","61.2395355884693","61.0602164639313","60.8193789853064","59.9221456463992","60.6021175860168","61.5412682322681","",
